id	linkkey	aidkey	bidkey	decision
3934	99-71-28-001067_99-69-28-001095	99-71-28-001067	99-69-28-001095	confirm
3935	99-71-28-001124_99-69-28-001153	99-71-28-001124	99-69-28-001153	confirm
3936	99-71-28-001239_99-69-10-000907	99-71-28-001239	99-69-10-000907	confirm
3937	99-71-28-001277_99-69-28-001308	99-71-28-001277	99-69-28-001308	confirm
3938	99-71-28-001404_99-69-28-001438	99-71-28-001404	99-69-28-001438	confirm
3939	99-71-28-001405_99-69-28-001439	99-71-28-001405	99-69-28-001439	confirm
3940	99-71-28-001407_99-69-28-001440	99-71-28-001407	99-69-28-001440	confirm
3941	99-71-28-001449_99-69-28-001479	99-71-28-001449	99-69-28-001479	confirm
3942	99-71-28-001532_99-69-10-001739	99-71-28-001532	99-69-10-001739	confirm
3943	99-71-28-001534_99-69-01-001914	99-71-28-001534	99-69-01-001914	confirm
3944	99-71-28-001557_99-67-10-001865	99-71-28-001557	99-67-10-001865	confirm
3945	99-71-28-001621_99-67-10-001954	99-71-28-001621	99-67-10-001954	confirm
3946	99-71-28-001631_99-69-28-001686	99-71-28-001631	99-69-28-001686	confirm
3947	99-71-28-001643_99-69-10-003795	99-71-28-001643	99-69-10-003795	confirm
3948	99-71-28-001654_99-69-28-001708	99-71-28-001654	99-69-28-001708	confirm
3949	99-71-28-001774_99-69-01-002421	99-71-28-001774	99-69-01-002421	confirm
3950	99-71-28-001864_99-69-28-001917	99-71-28-001864	99-69-28-001917	confirm
3951	99-71-28-002068_99-69-01-001299	99-71-28-002068	99-69-01-001299	confirm
3952	99-71-28-002130_99-67-10-004858	99-71-28-002130	99-67-10-004858	confirm
3953	99-71-28-002172_99-69-10-002267	99-71-28-002172	99-69-10-002267	confirm
3954	99-71-28-002261_99-69-10-002431	99-71-28-002261	99-69-10-002431	confirm
3955	99-71-28-002264_99-69-10-002435	99-71-28-002264	99-69-10-002435	confirm
3956	99-71-28-002398_99-69-28-002380	99-71-28-002398	99-69-28-002380	confirm
3957	99-71-28-002485_99-69-28-002468	99-71-28-002485	99-69-28-002468	confirm
3958	99-71-28-002491_99-67-10-003060	99-71-28-002491	99-67-10-003060	confirm
3959	99-71-28-002518_99-69-28-002503	99-71-28-002518	99-69-28-002503	confirm
3960	99-71-28-002519_99-69-28-002504	99-71-28-002519	99-69-28-002504	confirm
3961	99-71-28-002520_99-69-28-002505	99-71-28-002520	99-69-28-002505	confirm
3962	99-71-28-002521_99-69-28-002506	99-71-28-002521	99-69-28-002506	confirm
3963	99-71-28-002523_99-69-28-002508	99-71-28-002523	99-69-28-002508	confirm
3964	99-71-28-002531_99-69-28-002516	99-71-28-002531	99-69-28-002516	confirm
3965	99-71-28-002569_99-69-28-002555	99-71-28-002569	99-69-28-002555	confirm
3966	99-71-28-002585_99-69-28-002570	99-71-28-002585	99-69-28-002570	confirm
3967	99-71-28-002725_99-69-01-002238	99-71-28-002725	99-69-01-002238	confirm
3968	99-71-28-002884_99-69-28-008333	99-71-28-002884	99-69-28-008333	confirm
3969	99-71-28-002915_99-69-28-008342	99-71-28-002915	99-69-28-008342	confirm
3970	99-71-28-002950_99-69-10-003207	99-71-28-002950	99-69-10-003207	confirm
3971	99-71-28-003062_99-67-10-003550	99-71-28-003062	99-67-10-003550	confirm
3972	99-71-28-003116_99-69-28-003103	99-71-28-003116	99-69-28-003103	confirm
3973	99-71-28-003206_99-69-28-003192	99-71-28-003206	99-69-28-003192	confirm
3974	99-71-28-003490_99-69-28-003375	99-71-28-003490	99-69-28-003375	confirm
3975	99-71-28-003622_99-67-10-004570	99-71-28-003622	99-67-10-004570	confirm
3976	99-71-28-003940_99-67-10-005111	99-71-28-003940	99-67-10-005111	confirm
3977	99-71-28-004018_99-69-28-003903	99-71-28-004018	99-69-28-003903	confirm
3978	99-71-28-004048_99-67-10-005316	99-71-28-004048	99-67-10-005316	confirm
3979	99-71-28-004096_99-69-10-004359	99-71-28-004096	99-69-10-004359	confirm
3980	99-71-28-004125_99-69-10-004363	99-71-28-004125	99-69-10-004363	confirm
3981	99-71-28-004238_99-69-28-004128	99-71-28-004238	99-69-28-004128	confirm
3982	99-71-28-004257_99-69-10-004532	99-71-28-004257	99-69-10-004532	confirm
3983	99-71-28-004286_99-69-28-004165	99-71-28-004286	99-69-28-004165	confirm
3984	99-71-28-004315_99-67-10-005674	99-71-28-004315	99-67-10-005674	confirm
3985	99-71-28-004323_99-67-10-005691	99-71-28-004323	99-67-10-005691	confirm
3986	99-71-28-004358_99-67-10-005792	99-71-28-004358	99-67-10-005792	confirm
3987	99-71-28-004379_99-67-10-005832	99-71-28-004379	99-67-10-005832	confirm
